subj_id,age,gender,ethnicity,born_ch,born_ch_text,language,urban_rural,education,afford,class,rich_poor,spirit_relig,religion,ethnicity_cat,language_cat,urban_rural_cat,education_cat,class_cat,class_cat2,spirit_relig_num,religion_cat
ch_adults_001_crickets,21,Female,Han,Yes,NA,mandarin,rural,bachelors,yes,middle,a little poorer,neither agree nor disagree,none,Han,mandarin,rural,bachelors,middle,middle,0,none
ch_adults_002_cellphones,48,Female,Han,Other,Henan,dialect,rural,bachelors degree,yes,middle level,a little poorer,neither agree nor disagree,none,Han,local dialect,rural,bachelors,middle,middle,0,none
ch_adults_003_chickens,35,Male,Han,Other,Si Chuan,dialect,rural,junior college,yes,just so so,about the same,agree,buddhism,Han,local dialect,rural,other college degree,lower middle,lower,1,buddhist
ch_adults_004_children,62,Missing Data,Han,Other,Shanghai,dialect,urban,high school,yes,just so so,about the same,agree,no,Han,local dialect,urban,high school,lower middle,lower,1,none
ch_adults_005_dogs,33,Male,Han,Other,Si Chuan,sichuan,rural,primary school,yes,just so so,much poorer,neither agree nor disagree,none,Han,sichuan,rural,less than high school,lower middle,lower,0,none
ch_adults_006_flowers,60,Female,Han,Other,Shanghai,shanghai,urban,high school,yes,just so so,a little richer,disagree,none,Han,shanghainese,urban,high school,lower middle,lower,-1,none
ch_adults_007_ghosts,33,Female,Han,Other,Chong qing,dialect,rural,high school,yes,just so so,a little poorer,neither agree nor disagree,x,Han,local dialect,rural,high school,lower middle,lower,0,NA
ch_adults_008_god,56,Female,Han,Other,Fujian,fu zhou,urban,middle school,yes,just so so,about the same,neither agree nor disagree,x,Han,fu zhou,urban,less than high school,lower middle,lower,0,NA
ch_adults_009_mice,52,Female,Han,Other,Shanghai,shanghai,urban,high school,yes,good,a little poorer,neither agree nor disagree,none,Han,shanghainese,urban,high school,upper,upper,0,none
ch_adults_010_rocks,45,Female,Han,Yes,NA,shanghai,urban,technical secondary school,yes,just ok,about the same,neither agree nor disagree,none,Han,shanghainese,urban,trade/certificate,lower middle,lower,0,none
ch_adults_011_cellphones,23,Female,Miao,Yes,NA,dialect,urban,masters,yes,well-off,much poorer,disagree,none,Miao,local dialect,urban,masters,upper,upper,-1,none
ch_adults_012_chickens,43,Male,Han,Other,Shanghai,"mandarin, shanghai",urban,junior college,yes,stable and normal,about the same,neither agree nor disagree,none,Han,shanghainese,urban,other college degree,middle,middle,0,none
ch_adults_013_children,41,Female,Han,Other,Shanghai,"mandarin, shanghai",urban,bachelor degree,yes,below average,about the same,neither agree nor disagree,none,Han,shanghainese,urban,bachelors,lower middle,lower,0,none
ch_adults_014_dogs,49,Male,Han,Other,Shanghai,local,urban,junior college,yes,above average,about the same,neither agree nor disagree,none,Han,local dialect,urban,other college degree,upper middle,upper,0,none
ch_adults_015_flowers,55,Male,Han,Yes,NA,jiangsu,urban,middle school,yes,just so so to good,a little poorer,neither agree nor disagree,communist party,Han,jiangsu,urban,less than high school,lower middle,lower,0,communist party
ch_adults_016_ghosts,29,Male,Han,Other,"Dongian, Jiangsu",jiangsu,rural,junior college,yes,the average level,about the same,neither agree nor disagree,no,Han,jiangsu,rural,other college degree,middle,middle,0,none
