subj_id,age,gender,live_here,from_where,sibling_number,sibling_order,language,language_home,language_school,school,church,religion,religion_cat,church_cat
gh_children_001_cellphones,7,F,Cape Coast,Cape Coast,2,2,"English, Fante",Fante,English,Calvary Hillcrest,Bethel Methodist Church,christian,christian,Bethel Methodist Church
gh_children_002_cellphones,7,F,Cape Coast,Central Region,3,2,"English, Fante",Fante,English,Calvary Hillcrest,Seventh Day Adventist,christian,christian,Seventh Day Adventist
gh_children_003_rocks,10,F,Cape Coast,Cape Coast,4,1,"English, Fante",Fante,English,Calvary Hillcrest,Life Cathedral,christian,christian,Life Cathedral
gh_children_004_rocks,10,F,Cape Coast,Ashanti Region,1,1,"English, Twi","English, Twi",English,Calvary Hillcrest,Praise Baptist Church,christian,christian,Praise Baptist Church
gh_children_005_chickens,8,F,Cape Coast,Volta Region,4,5,"English, Twi",Twi,English,Calvary Hillcrest,Seventh Day Adventist,christian,christian,Seventh Day Adventist
gh_children_006_children,9,M,Cape Coast,Elmina,2,3,"English, Fante","English, Fante","English, Fante",Calvary Hillcrest,Maranatha Assemblies of God,christian,christian,Maranatha Assemblies of God
gh_children_007_mice,8,M,Cape Coast,Shama,4,4,"English, Ga, Fante","Ga, Fante",English,Calvary Hillcrest,Grace House,christian,christian,Grace House
gh_children_008_ghosts,8,M,Cape Coast,Obuasi,2,2,"English, Fante, Twi",Twi,English,Calvary Hillcrest,Donewell Methodist Church,christian,christian,Donewell Methodist Church
gh_children_009_children,8,M,Elmina,Don't know,3,4,"English, Fante",Fante,English,Calvary Hillcrest,Holy Fire International Church,christian,christian,Holy Fire International Church
gh_children_010_beetles,9,F,Cape Coast,Accra,3,2,"English, Fante",Fante,English,Calvary Hillcrest,Ebenezer Methodist Church,christian,christian,Ebenezer Methodist Church
gh_children_011_ghosts,9,M,Cape Coast,Volta Region,3,2,"English, Fante, Ewe","Fante, Ewe",English,Calvary Hillcrest,Roman Catholic,christian,christian,Roman Catholic
gh_children_012_flowers,9,M,Cape Coast,Kwahu,3,1,"English, Fante",Fante,English,Calvary Hillcrest,Worship at home,christian,christian,Worship at home
gh_children_013_cellphones,10,F,Cape Coast,Cape Coast,3,2,"English, Fante","English, Fante",English,Calvary Hillcrest,House of Prayer for All Nations,christian,christian,House of Prayer for All Nations
gh_children_014_mice,10,F,Cape Coast,Cape Coast,3,1,"English, Fante",Fante,English,Calvary Hillcrest,Saint Joseph Cathedral,christian,christian,Saint Joseph Cathedral
gh_children_015_beetles,9,F,Cape Coast,Cape Coast,3,2,English,English,English,Calvary Hillcrest,Roman Catholic,christian,christian,Roman Catholic
gh_children_016_beetles,7,F,Cape Coast,Volta Region,2,3,"English, Ewe",Ewe,English,Calvary Hillcrest,Calvary Charismatic Church,christian,christian,Calvary Charismatic Church
gh_children_017_mice,10,F,Cape Coast,Missing Data,4,3,"English, Twi, Fante","English, Fante",English,Calvary Hillcrest,Anglican,christian,christian,Anglican
gh_children_018_god,10,M,Cape Coast,Cape Coast,1,2,"English, Fante",Fante,English,Calvary Hillcrest,Anglican,christian,christian,Anglican
gh_children_019_chickens,8,F,Cape Coast,Cape Coast,2,3,"English, Fante",Fante,English,Calvary Hillcrest,Donewell Methodist Church,christian,christian,Donewell Methodist Church
