subj_id,age,gender,ethnicity,born_th,language,urban_rural,education,afford,class,rich_poor,spirit_relig,religion,ethnicity_cat,urban_rural_cat,education_cat,class_cat,class_cat2,spirit_relig_num,religion_cat
th_adults_061_ghosts,32,M,Thai,Yes,Native northern dialect,Rural,grade 6,yes,almost poor,about same,neither,buddhist,Thai,Rural,less than high school,lower/working class,lower,0,buddhist
th_adults_078_dogs,39,M,Thai,Yes,Native northern dialect,Rural,no education,yes,middle,about same,disagree,buddhist,Thai,Rural,less than high school,middle,middle,-1,buddhist
th_adults_121_chickens,25,M,Thai,Yes,Thai,Rural,bachelors degree,yes,middle,about same,strongly disagree,missing data,Thai,Rural,bachelors,middle,middle,-2,NA
th_adults_042_flowers,41,F,Thai,Yes,Native northern dialect,Rural,grade 6,yes,middle,a little poorer,neither,buddhist,Thai,Rural,less than high school,middle,middle,0,buddhist
th_adults_040_chickens,39,M,Thai,Yes,Native northern dialect,Rural,grade 6,yes,middle,about same,disagree,buddhist,Thai,Rural,less than high school,middle,middle,-1,buddhist
th_adults_055_rocks,20,F,Thai,Yes,Thai,Rural,"bachelors degree (student), undergrad",yes,middle,about same,disagree,buddhist,Thai,Rural,some college,middle,middle,-1,buddhist
th_adults_098_ghosts,21,M,Thai,Yes,Essan,Roi Et,grade 12,yes,not trans,about same,disagree,buddhist,Thai,Roi Et,some high school,NA,NA,-1,buddhist
th_adults_124_flowers,39,M,Thai,Yes,Essan,Rural,grade 6,no,middle-poor,a little poorer,neither,buddhist,Thai,Rural,less than high school,lower middle,lower,0,buddhist
th_adults_033_flowers,17,F,Thai,Yes,Thai,Urban,grade 12,yes,middle,about same,disagree,buddhist,Thai,Urban,some high school,middle,middle,-1,buddhist
th_adults_003_chickens,37,M,Thai,Yes,"Norther dialect, Thai",Urban,bachelors degree,yes,middle,about same,neither,islam,Thai,Urban,bachelors,middle,middle,0,muslim
th_adults_134_ghosts,35,M,Thai,Yes,Thai,Urban,bachelors degree,yes,middle,a little richer,disagree,buddhist,Thai,Urban,bachelors,middle,middle,-1,buddhist
th_adults_011_cellphones,55,M,Thai,Yes,"Lanna (Northern dialect), Thai",Urban,grade 6,no,poor-middle,about same,neither,buddhist,Thai,Urban,less than high school,lower middle,lower,0,buddhist
th_adults_048_cellphones,20,M,Thai,Yes,Native Phayao dialect,Rural,undergrad,yes,middle,about same,disagree,buddhist,Thai,Rural,some college,middle,middle,-1,buddhist
th_adults_081_mice,24,M,Thai,Yes,Native,Urban,bachelors degree,yes,middle-good(high),about same,strongly disagree,no religion,Thai,Urban,bachelors,upper middle,upper,-2,no religion
th_adults_020_beetles,22,F,Thai,Yes,Mom-Northern dialect/Central Thai,Urban,bachelors degree,yes,middle,about same,neither,buddhist,Thai,Urban,bachelors,middle,middle,0,buddhist
th_adults_009_mice,40,M,Thai,Yes,Northern dialect(Chiang Mai),Rural,grade 6,yes,middle,a little richer,neither,buddhist,Thai,Rural,less than high school,middle,middle,0,buddhist
th_adults_149_chickens,48,F,Thai,Yes,Native,Rural,bachelors degree,yes,middle,a little richer,neither,buddhist,Thai,Rural,bachelors,middle,middle,0,buddhist
th_adults_002_cellphones,34,F,Thai,Yes,Northern dialect,Rural,bachelors degree,yes,middle,about same,neither,islam,Thai,Rural,bachelors,middle,middle,0,muslim
th_adults_032_dogs,24,O,Thai,Yes,"Central Thai, Northern dialect",Urban,bachelors degree,yes,middle,about same,disagree,buddhist,Thai,Urban,bachelors,middle,middle,-1,buddhist
th_adults_129_beetles,25,F,Thai,Yes,Thai,Urban,bachelors degree,yes,middle,about same,disagree,buddhist,Thai,Urban,bachelors,middle,middle,-1,buddhist
th_adults_115_flowers,46,M,Thai,Yes,Native,Rural,bachelors degree,yes,middle,about same,neither,buddhist,Thai,Rural,bachelors,middle,middle,0,buddhist
th_adults_131_children,37,M,Thai,Yes,Thai,Urban,masters degree,yes,middle,a little richer,agree,buddhist,Thai,Urban,masters,middle,middle,1,buddhist
th_adults_095_children,23,M,Not trans,"Yes. No, in Myanmar",Not trans,Rural,grade 6,no,poor,about same,NA,buddhist,Not trans,Rural,less than high school,lower/working class,lower,NA,buddhist
th_adults_113_children,39,F,Thai,Yes,Thai,Rural,grade 12,somewhat,middle,about same,neither,buddhist,Thai,Rural,some high school,middle,middle,0,buddhist
th_adults_057_cellphones,42,F,Thai,Yes,Essan,Rural,grade 6,no,middle,about same,disagree,buddhist,Thai,Rural,less than high school,middle,middle,-1,buddhist
th_adults_128_rocks,35,F,Thai,Yes,Not trans,Rural,bachelors degree,yes,middle,about same,disagree,no religion,Thai,Rural,bachelors,middle,middle,-1,no religion
th_adults_137_rocks,22,F,Thai,Yes,Thai,Rural,"bachelors degree (student), undergrad",yes,middle,NA,disagree,buddhist,Thai,Rural,some college,middle,middle,-1,buddhist
th_adults_116_ghosts,60,M,Thai,Yes,"Karen, Native, Thai",Rural,grade 12,yes,middle,about same,agree,buddhist,Thai,Rural,some high school,middle,middle,1,buddhist
th_adults_036_mice,32,M,Thai,Yes,Thai Native northern dialect,Rural,grade 12,yes,middle,about same,neither,buddhist,Thai,Rural,some high school,middle,middle,0,buddhist
th_adults_026_god,22,F,Thai,Yes,Thai,"Pak Chong, Korat",bachelors degree,yes,middle,about same,neither,buddhist,Thai,"Pak Chong, Korat",bachelors,middle,middle,0,buddhist
th_adults_001_beetles,36,M,Thai,Yes,Native northern dialect,Rural,vocational school,yes,middle,a little poorer,neither,buddhist,Thai,Rural,trade/certificate,middle,middle,0,buddhist
th_adults_083_beetles,66,F,Thai,Yes,Native,Rural,grade 4,yes,middle,about same,neither,buddhist,Thai,Rural,less than high school,middle,middle,0,buddhist
th_adults_104_children,53,F,Thai,Yes,Not trans,Urban,grade 9,yes,middle,about same,neither,buddhist,Thai,Urban,some high school,middle,middle,0,buddhist
th_adults_060_dogs,35,F,Thai,Yes,Essan,Rural,junior high school,yes,middle,about same,disagree,buddhist,Thai,Rural,less than high school,middle,middle,-1,buddhist
th_adults_091_rocks,66,F,Thai,Yes,Native,Rural,grade 4,yes,middle,a little poorer,neither,buddhist,Thai,Rural,less than high school,middle,middle,0,buddhist
th_adults_120_beetles,23,F,Thai,Yes,Thai,Urban,"bachelors degree (student), undergrad",yes,middle,about same,NA,buddhist,Thai,Urban,some college,middle,middle,NA,buddhist
th_adults_107_ghosts,49,M,Thai,Yes,Thai,Rural,bachelors degree,no,middle-poor,a little poorer,neither,buddhist,Thai,Rural,bachelors,lower middle,lower,0,buddhist
th_adults_117_god,38,F,Thai,Yes,Not trans,Rural,bachelors degree,yes,middle,about same,neither,buddhist,Thai,Rural,bachelors,middle,middle,0,buddhist
th_adults_025_ghosts,21,F,Thai,Yes,Chiang Rai dialect,"Mae Lao, Chiang Rai",bachelors degree,yes,middle,about same,neither,buddhist,Thai,"Mae Lao, Chiang Rai",bachelors,middle,middle,0,buddhist
th_adults_075_cellphones,21,F,Thai,Yes,Thai,Rural,"bachelors degree (student), junior year",yes,middle,a little richer,disagree,buddhist,Thai,Rural,some college,middle,middle,-1,buddhist
th_adults_027_mice,44,F,Thai,Yes,Phayao dialect,Urban,bachelors degree,yes,middle,about same,disagree,buddhist,Thai,Urban,bachelors,middle,middle,-1,buddhist
th_adults_122_children,38,F,Thai,Yes,"Thai, Essan",Rural,bachelors degree,yes,middle,about same,neither,buddhist,Thai,Rural,bachelors,middle,middle,0,buddhist
th_adults_063_mice,22,M,Thai,Yes,Native northern dialect,Urban,bachelors degree,yes,middle,about same,disagree,buddhist,Thai,Urban,bachelors,middle,middle,-1,buddhist
th_adults_079_flowers,23,F,Thai,Yes,Native,Rural,bachelors degree,yes,middle,about same,neither,buddhist,Thai,Rural,bachelors,middle,middle,0,buddhist
th_adults_110_rocks,36,F,Thai,Yes,Not trans,Urban,bachelors degree,yes,not trans,about same,disagree,buddhist,Thai,Urban,bachelors,NA,NA,-1,buddhist
th_adults_114_dogs,70,M,Thai,Yes,Thai,Urban,grade 4,yes,middle,about same,disagree,buddhist,Thai,Urban,less than high school,middle,middle,-1,buddhist
th_adults_138_beetles,32,F,Thai,Yes,"Essan, Thai",Rural,bachelors degree,yes,middle,about same,disagree,buddhist,Thai,Rural,bachelors,middle,middle,-1,buddhist
th_adults_004_children,26,F,Thai,Yes,Northern dialect,Rural,bachelors degree,yes,middle-poor,about same,neither,buddhist,Thai,Rural,bachelors,lower middle,lower,0,buddhist
th_adults_136_mice,59,M,Thai,Yes,Thai,Rural,not trans,yes,middle,about same,NA,buddhist,Thai,Rural,NA,middle,middle,NA,buddhist
th_adults_031_children,22,F,Thai,Yes,Phayao dialect,Rural,bachelors degree,yes,middle,about same,disagree,buddhist,Thai,Rural,bachelors,middle,middle,-1,buddhist
th_adults_139_cellphones,25,F,Thai,Yes,Thai,Rural,bachelors degree,yes,middle,a little richer,disagree,buddhist,Thai,Rural,bachelors,middle,middle,-1,buddhist
th_adults_127_mice,53,F,Thai,Yes,Essan,Rural,grade 4,yes,middle,a little poorer,neither,buddhist,Thai,Rural,less than high school,middle,middle,0,buddhist
th_adults_100_mice,21,M,Thai,Yes,"Thai, Karen",Rural,grade 12,yes,middle,about same,neither,buddhist,Thai,Rural,some high school,middle,middle,0,buddhist
th_adults_106_flowers,34,M,Thai,Yes,Not trans,Rural,vocational certificate,yes,middle,about same,disagree,buddhist,Thai,Rural,trade/certificate,middle,middle,-1,buddhist
th_adults_144_god,26,M,Thai,Yes,Thai,Urban,bachelors degree,yes,middle,about same,disagree,buddhist,Thai,Urban,bachelors,middle,middle,-1,buddhist
th_adults_030_cellphones,27,F,Thai,Yes,Thai,Rural,vocational certificate,no,middle,a little poorer,disagree,buddhist,Thai,Rural,trade/certificate,middle,middle,-1,buddhist
th_adults_039_cellphones,40,F,Thai,Yes,Native Uttaradit dialect,Urban,bachelors degree,yes,middle,about same,NA,like buddhist / no religion,Thai,Urban,bachelors,middle,middle,NA,multiple
th_adults_111_cellphones,54,F,Thai,Yes,Not trans,Urban,bachelors degree,yes,middle,about same,neither,buddhist,Thai,Urban,bachelors,middle,middle,0,buddhist
