subj_id,age,gender,live_here,from_here,from_where,sibling_number,sibling_order,language,language_home,language_school,school,church,religion,religion_cat
th_children_001_beetles,8,F,Chiang Mai,No,Bangkok,3 pp,Oldest child,"Thai, English",Thai,"Thai, Not trans",Varee CM,Yes,buddhist,buddhist
th_children_002_cellphones,8,M,Chiang Mai,No,Bangkok,1 younger brother,Oldest child,Thai,Thai,"Thai, English",Varee Chiangmai School,Missing Data,buddhist,buddhist
th_children_003_chickens,8,F,Chiang Mai,Yes,CM,1 younger sister,Oldest child,Thai,Thai,Thai,Varee Chiangmai School,Yes,buddhist,buddhist
th_children_004_children,10,M,Chiang Mai,No,Samut Sakhorn,None,Only child,"Thai, English",Thai,"Thai, English",Varee Chiangmai School,Yes,buddhist,buddhist
th_children_005_dogs,9,M,Chiang Mai,No,Chiangrai,None,Only child,"Thai, Chinese","Thai, Chinese",Thai,Varee Chiangmai School,Every Sunday,christian,christian
th_children_006_flowers,9,M,Chiang Mai,No,Korea,1 younger sister,Oldest child,"Thai, English, Korean",Korean,"Thai, English",Varee Chiangmai School,Missing Data,maybe,maybe
th_children_007_ghosts,8,F,CM,No,Live Hong kong until 1 y/o & move to Thailand for 7 years,None,Only child,"Thai, English, Chinese (HK)","English, Phu Ket, Chinese (HK)","Thai, English","Phuket school, Oonrak school in Samui & Varee School in CM",Go to temple once a year,don't know what religion is,don't know what religion is
th_children_008_god,8,M,CM,No,Bangkok,2 siblings 1 older and 1 younger,Second child,"Thai, English","Thai, English","Thai, English",Varee Chiangmai School,Yes,buddhist,buddhist
th_children_009_mice,8,M,Chiang Mai,Yes,Chiang Mai,1 older sister,Youngest child,"Thai, English",English,Thai,Varee Chiangmai School,Yes,buddhist,buddhist
th_children_010_rocks,8,M,CM,No,"Mom: Thailand, Dad: Holland",None,Only child,"Thai, English, Chinese","Thai, English","Thai, English",Varee School,Not trans,buddhist,buddhist
th_children_011_cellphones,10,F,CM,Yes,NA,1 older sister,Second child,"Thai, English",Thai,Thai,Varee School,Go to temple not often,buddhist,buddhist
th_children_012_chickens,9,F,CM,Yes,CM,None,Only child,"Thai, English","Thai, English","Thai, English",Varee School,Missing Data,no religion,no religion
th_children_013_children,9,F,Chiang Mai,No,Koh Samui,2 younger sisters,Oldest child,"Thai, English, Korean","Thai, English, Korean","Thai, English",Varee Chiangmai School,Missing Data,no religion,no religion
th_children_014_dogs,9,F,Chiang Mai,No,"Mom: Uttaradit, Dad: San Patong-Chiangmai",Missing Data,Missing Data,"Thai, English",Thai,"Thai, English",Varee Chiangmai School,Missing Data,buddhist,buddhist
th_children_015_flowers,9,F,Chiang Mai,Yes,"Mom: Chiangmai, Dad: England",1 brother,Oldest child,Thai,Thai,Thai,Varee Chiangmai School,Yes,buddhist,buddhist
th_children_016_ghosts,8,F,Chiang Mai,Yes,Chiang Mai,Missing Data,Missing Data,Thai,Thai,Thai,Varee Chiangmai School,Go to temple,islam,muslim
th_children_017_god,8,F,Chiang Mai,Yes,Chiang Mai,None,Only child,"Thai, English",Thai,Thai,Varee Chiangmai School,Temple,buddhist,buddhist
th_children_018_mice,10,F,Chiang Mai,Yes,Chiang Mai,Brother (16 y/o),Second child,"Thai, English",Thai,"Thai, English",Varee Chiangmai School,Yes,buddhist,buddhist
