subj_id,age,gender,ethnicity,born_us,language,urban_rural,education,afford,class,rich_poor,spirit_relig,religion,ethnicity_cat,urban_rural_cat,education_cat,class_cat,class_cat2,spirit_relig_num,religion_cat
us_adults_001_children,23,F,indian,no,"english, hindi, marathi",urban,bachelors,yes,middle,about the same,agree,hinduism,south asian,urban,bachelors,middle,middle,1,hindu
us_adults_002_dogs,24,M,peruvian,yes,"spanish, english",urban,some college,yes,lower middle,a little poorer,disagree,no,hispanic/latino,urban,some college,lower middle,lower,-1,none
us_adults_003_flowers,44,F,caucasian,no,english,urban,phd,NA,missing data,NA,NA,missing data,white,urban,phd,NA,NA,NA,NA
us_adults_004_ghosts,43,F,missing data,no,"english, french",missing data,college,NA,middle,about the same,NA,missing data,NA,NA,some college,middle,middle,NA,NA
us_adults_005_god,27,M,caucasian,yes,"english, spanish",urban,some college,yes,middle,a little richer,agree,no,white,urban,some college,middle,middle,1,none
us_adults_006_mice,38,F,european,yes,english,suburban,masters,yes,middle,about the same,agree,missing data,white,suburban,masters,middle,middle,1,NA
us_adults_007_rocks,19,F,mixed,yes,english,rural,some college,yes,middle,much poorer,strongly disagree,missing data,multiple,rural,some college,middle,middle,-2,NA
us_adults_008_cellphones,42,M,african american,yes,english,rural,high school,yes,middle,about the same,agree,no,black,rural,high school,middle,middle,1,none
us_adults_009_chickens,30,F,caucasian,yes,english,urban,masters,yes,upper,a little poorer,agree,no,white,urban,masters,upper,upper,1,none
us_adults_010_children,26,F,mexican,yes,english,urban,associates,yes,middle,a little poorer,disagree,no,hispanic/latino,urban,associates,middle,middle,-1,none
us_adults_011_dogs,28,F,jewish,yes,english,suburban,masters,yes,upper middle,about the same,agree,judaism,white,suburban,masters,upper middle,upper,1,jewish
us_adults_012_flowers,25,M,caucasian,yes,english,suburban,associates,NA,middle,NA,NA,missing data,white,suburban,associates,middle,middle,NA,NA
us_adults_013_ghosts,26,F,indo-guyanese / italian,yes,english,rural,associates,yes,lower income,a little richer,disagree,no,multiple,rural,associates,lower/working class,lower,-1,none
us_adults_014_god,21,M,filipino,yes,"tagalog, english",urban,1 year college,yes,middle,a little richer,strongly disagree,no,pacific islander,urban,other college degree,middle,middle,-2,none
us_adults_015_mice,20,M,caucasian,yes,english,suburban,high school,yes,upper middle,about the same,strongly agree,christian,white,suburban,high school,upper middle,upper,2,christian
us_adults_016_rocks,25,M,hispanic,no,"spanish, english",rural,college,yes,middle,about the same,agree,catholic,hispanic/latino,rural,some college,middle,middle,1,christian
us_adults_017_beetles,26,M,middle eastern,yes,"persian, english",urban,bachelors,yes,upper middle,about the same,disagree,no,middle eastern,urban,bachelors,upper middle,upper,-1,none
us_adults_018_chickens,52,F,caucasian,no,"english, greek",urban,bachelors,yes,upper,about the same,agree,catholic,white,urban,bachelors,upper,upper,1,christian
us_adults_019_children,48,M,caucasian,yes,english,urban,bachelors,yes,middle,about the same,neither agree nor disagree,no,white,urban,bachelors,middle,middle,0,none
us_adults_020_dogs,27,F,caucasian,yes,english,urban,some college,yes,middle,a little poorer,agree,no,white,urban,some college,middle,middle,1,none
