subj_id,age,gender,language,religion,religion_cat
vt_adults_001_mice,28,F,"Bislama, Banks  language",mormon,mormon
vt_adults_002_missing data,56,F,"Bislama, Nese",sda,sda
vt_adults_003_children,16,F,"Bislama, Clear River, Espigles Bay language",sda,sda
vt_adults_004_chickens,25,F,"Bislama, Clear River, Espigles Bay language",sda,sda
vt_adults_005_children,62,M,"Bislama, Espigles Bay language",sda,sda
vt_adults_006_god,57,F,Bislama,mormon,mormon
vt_adults_007_pigs,37,F,"Bislama, Ambae language",coc,coc
vt_adults_008_cellphones,58,F,"Bislama, Eratap language",sda,sda
vt_adults_009_god,31,M,"Bislama, Big Nabos, English",sda,sda
vt_adults_010_children,42,M,Bislama,sda,sda
vt_adults_011_dogs,37,M,"Bislama, Tanna language",sda,sda
vt_adults_012_ghosts,25,M,Bislama,sda,sda
vt_adults_013_god,54,F,"Bislama, Espigles Bay language",sda,sda
vt_adults_014_flowers,28,F,Bislama,sda,sda
vt_adults_015_chickens,37,M,"Bislama, North Ambae language",anglican,anglican
vt_adults_016_rocks,45,M,"Bislama, Espigles Bay language",sda,sda
vt_adults_017_children,26,F,Bislama,sda,sda
vt_adults_018_flowers,70,F,"Bislama, Espigles Bay language",sda,sda
vt_adults_019_dogs,23,F,"Bislama, Makira language, Emae",new government,new government
vt_adults_020_rocks,75,M,Bislama,presbyterian,presbyterian
vt_adults_021_flowers,33,M,Bislama,sda,sda
vt_adults_022_beetles,23,F,Bislama,sda,sda
vt_adults_023_chickens,65,F,Bislama,presbyterian,presbyterian
vt_adults_024_mice,47,M,Bislama,sda,sda
vt_adults_025_mice,44,F,"Bislama, Espigles Bay language",sda,sda
vt_adults_026_cellphones,41,F,"Bislama, South East Ambryn language",presbyterian,presbyterian
vt_adults_027_god,23,F,Santo language,presbyterian,presbyterian
vt_adults_028_ghosts,39,F,Bislama,sda,sda
vt_adults_029_ghosts,49,F,Bislama,mormon,mormon
vt_adults_030_beetles,34,F,Eratap language,sda,sda
vt_adults_031_god,15,F,Bislama,sda,sda
vt_adults_032_god,30,M,Bislama,sda,sda
vt_adults_033_god,48,F,"Bislama, Espigles Bay language",sda,sda
vt_adults_034_pigs,41,F,"Bislama, Tanna language",ntm,ntm
vt_adults_035_rocks,34,F,"Bislama, Clear River language",protestant,protestant
vt_adults_036_rocks,37,F,"Bislama, Ambryn language",christian outreach center,christian outreach center
vt_adults_037_mice,19,F,Santo language,ntm,ntm
vt_adults_038_rocks,40,F,Bislama,anglican,anglican
vt_adults_039_flowers,27,F,"Bislama, Paama language",sda,sda
vt_adults_040_mice,20,F,Bislama,reformed sda,reformed sda
vt_adults_041_chickens,46,F,"Bislama, Malekula language",sda,sda
