subj_id,age,gender,live_here,from_here,from_where,sibling_number,sibling_order,language,language_home,language_school,school,church,religion,religion_cat
vt_children_001_dogs,8,M,Lives at Teouma Bridge,yes,NA,1 brother and 1 sister,second born,Bislama,Bislama,Bislama,class 2,yes,sda,sda
vt_children_002_pigs,13,F,Lives at Teouma Bridge,yes,NA,1 brother and 2 sisters,first born,"Bislama, Tanna and Pentecost languages",Bislama,English,"yes, year 7",NA,sda,sda
vt_children_003_mice,8,F,Lives at Eratap village,yes,NA,2 sisters and 1 brother,last born,Eratap language,Eratap language,Bislama,class 1,NA,NA,NA
vt_children_004_dogs,11,F,yes,yes,NA,1 brother,first born,"Bislama, and understands Ngunese",Ngunese and Bislama,English,class 5,NA,presbyterian,presbyterian
vt_children_005_beetles,8,F,Eratap village,yes,NA,1 sister and 2 brothers,third born,"Bislama, English, Eratap language",Eratap language,English,class 3,NA,sda,sda
vt_children_006_flowers,9,F,Eratap village,yes,NA,3 brothers and 1 sister,last born,Eratap language,Bislama,English,class 3,NA,sunday keeping,sunday keeping
vt_children_007_ghosts,8,M,Lives at Eratap village,yes,NA,1 sister and no brothers,first born,Eratap language,Eratap language,"Eratap language, Bislama",class 3,NA,presbyterian,presbyterian
vt_children_008_mice,9,M,"Lives at Matanvat, Malekula",yes,NA,1 brother and 2 sisters,second born,Bislama,Bislama,English,"yes, class 4",NA,sda,sda
vt_children_009_rocks,9,M,"Lives at Womul, Malekula",yes,NA,3 sisters and no brothers,first born,Bislama,Bislama,English,"yes, class 3",NA,sunday keeping,sunday keeping
vt_children_010_pigs,6,M,"Molin, Malekula",Yes,NA,2 brothers and 1 sister,second born,Bislama,Bislama,Bislama,class 1,NA,sda,sda
vt_children_011_rocks,6,M,Lives at Espigles Bay,yes,NA,1 sister and no brothers,first born,Bislama,Bislama,Bislama,yes class 1,NA,sda,sda
vt_children_012_ghosts,10,M,"Matanvat, Malekula",Yes,NA,1 brother and 2 sister,last born,NA,Espigles Bay language,English,"yes, class 4",NA,presbyterian,presbyterian
vt_children_013_beetles,5,M,Lives at Teouma Bridge,yes,NA,"1 brother, 1 sister (cousin)",first born,"Bislama, English",Bislama,English,Kindy,NA,sda,sda
vt_children_014_flowers,9,M,Lives at Matanvat,yes,NA,2 sisters and 1 brother,second born,Bislama,Bislama,English,"yes, class 3",NA,sda,sda
vt_children_015_dogs,9,F,Lives at Rentabao,yes,NA,3 brothers and 3 sisters,second born,Tanna language,Tanna,Bislama,class 3,NA,healing touch ministry,healing touch ministry
vt_children_016_ghosts,9,F,Lives at Malekula,Yes,NA,2 brothers and 1 sister,third born,Tautu (Malekula) language,Tautu (Malekula) language,Bislama,"yes, class 3",yes,presbyterian,presbyterian
vt_children_017_crickets,9,F,"Lives at Tanmial, Malekula",yes,NA,3 sisters and no brothers,first born,Bislama,Bislama,English,"yes, class 3",NA,sda,sda
vt_children_018_rocks,9,M,"Womal, Malekula",Yes,NA,1 brother and 1 sister,first born,Womal language,Bislama,Bislama,"Yes, class 2",NA,sunday,sunday
vt_children_019_mice,8,M,"Womal, Malekula",Yes,NA,1 brother and no sister,first born,Womal language,Womal language,French,"Yes, class 3",NA,sunday,sunday
vt_children_020_beetles,10,F,yes,yes,NA,3 brothers and 3 sisters,third born,Ambae language,Bislama,English,class 4,NA,apostolic,apostolic
vt_children_021_pigs,7,M,Lives at Eratap village,NA,Lives at Eratap village,1 brother and 1 sister,first born,Bislama,Bislama,English,class 1,NA,presbyterian,presbyterian
vt_children_022_pigs,9,M,Eratap village,Yes,NA,2 sisters and no brothers,second born,Aniwa language,Aniwa language,Eratap language,class 2,NA,sda,sda
vt_children_023_pigs,10,F,Lives at Malekula,Yes,NA,2 brothers and 2 sisters,third born,Bislama,Bislama,English,"yes, class 4",yes,presbyterian,presbyterian
vt_children_024_children,11,F,"Tanmial, Malekula",Yes,NA,1 sister and 3 brothers,second last,Bislama,Bislama,Bislama,"yes, class 4",NA,sda church,sda church
vt_children_025_flowers,11,F,"Lives at Espigles Bay, Malekula",yes,NA,1 brother and 1 sister,second born,Bislama and English,Bislama,English,yes. class 5,NA,sda,sda
vt_children_026_god,9,M,Lives at Eratap village,yes,NA,3 sisters and 1 brother,last born,"doesn't know any local language, knows Bislama",Bislama,Bislama,class 3,NA,jehovah's witness,jehovah's witness
vt_children_027_god,9,M,"Womal, Malekula",Yes,NA,3 brothers and 1 sister,third born,Womal language,Womal language,French,"Yes, class 3",NA,presbyterian,presbyterian
vt_children_028_flowers,7,M,"Tanmial, Malekula",Yes,NA,3 sisters and no brothers,second born,Bislama,Bislama,Bislama,"Yes, class 2",NA,sda,sda
vt_children_029_children,10,F,Lives at Eratap village,yes,NA,1 brother and no sisters,first born,Bislama and Eratap language,Bislama,English and Bislama,class 5,yes,keeping one,keeping one
vt_children_030_cellphones,8,F,Lives at Matanvat village,yes,NA,6 brothers and 2 sisters,second born,Bislama and English,Bislama,English,yes. class 3,NA,sda,sda
vt_children_031_beetles,6,F,Lives at Teouma Bridge,yes,NA,2 brothers and no sisters,first born,Pentecost language,Pentecost language,English,yes. Kindy,NA,anglican,anglican
vt_children_032_god,6,F,Lives at Teouma Bridge,yes,NA,3 brothers and 4 sisters,sixth born,Bislama,Bislama,Bislama,yes kindy,NA,sda,sda
vt_children_033_crickets,10,F,"Molin, Malekula",Yes,NA,1 sister and 4 brothers,fourth born,Bislama,Bislama,English,class 2,NA,sda,sda
vt_children_034_flowers,9,M,"Lerrongrong, Malekula",Yes,NA,1 sister and no brothers,first born,English,Bislama,English,"yes, class 4",NA,sda,sda
